市町村,設置日時,解散日時
岡山県,2018年07月06日 16:30,
岡山市,2018年07月05日 18:55,
倉敷市,2018年07月05日 23:00,
津山市,2018年07月05日 17:45,
玉野市,2018年07月05日 22:00,
笠岡市,2018年07月06日 08:30,
井原市,2018年07月05日 18:40,
総社市,2018年07月06日 09:45,
高梁市,2018年07月05日 21:00,
新見市,2018年07月05日 19:00,
備前市,2018年07月06日 14:40,
瀬戸内市,2018年07月06日 23:10,
赤磐市,2018年07月07日 00:00,
真庭市,2018年07月06日 19:39,
美作市,2018年07月06日 19:55,
浅口市,2018年07月05日 21:05,
和気町,2018年07月06日 21:00,
早島町,2018年07月05日 21:28,
里庄町,2018年07月05日 21:30,
矢掛町,2018年07月06日 20:00,
新庄村,2018年07月06日 17:40,
鏡野町,2018年07月06日 18:17,
勝央町,2018年07月06日 20:00,
奈義町,2018年07月05日 15:39,
西粟倉村,2018年07月06日 15:30,
久米南町,2018年07月06日 18:25,
美咲町,2018年07月05日 18:45,
吉備中央町,2018年07月06日 17:00,
