code,name,startdate,enddate,url,memo
21,岐阜県＆県内市町村,2018/6/29 16:55,,http://www.pref.gifu.lg.jp/higai/higaijoho/saitai/591_saitai_detail.html,継続設置
23,愛知県,2018/7/5 0:37,,,【内閣府防災情報より把握】
24,三重県＆県内市町村,2018/7/5 21:24,2018/7/6 20:40,http://www.bosaimie.jp/X_MIE_PUB_VF_ks110,
26,京都府,2018/6/18 10:00,,,【大阪府北部を震源とする地震からの継続設置】
28,兵庫県,2018/7/5 10:20,,https://web.pref.hyogo.lg.jp/kk03/documents/180705_keikaihonbu.pdf,
31,鳥取県,2018/7/6 19:40,,,【内閣府防災情報より把握】
33,岡山県&県内市町村,2018/7/6 16:30,,http://www.bousai.pref.okayama.jp/bousai/refuge/taskforce/,
34,広島県,2018/7/5 19:00,,https://www.pref.hiroshima.lg.jp/soshiki/4/higai070502201704.html,
36,徳島県,2018/7/5 16:30,2018/7/6 6:00,https://twitter.com/saigai01/status/1014418559936544768,
38,愛媛県,2018/7/7 7:00,,,【内閣府防災情報より把握】
39,高知県＆県内市町村,2018/7/5 14:00,,http://kouhou.bousai.pref.kochi.lg.jp/KH712.html,
40,福岡県,2018/7/6 9:00,,http://www.pref.fukuoka.lg.jp/uploaded/attachment/42806.pdf,
17210,石川県白山市,2018/7/5 8:30,,http://www.city.hakusan.ishikawa.jp/index2.html,
18202,福井県敦賀市,2018/7/5 17:00,,https://twitter.com/tonbo_tsuruga/status/1014781700360978432?,
18207,福井県鯖江市,2018/7/5 18:00,,https://www.city.sabae.fukui.jp/saigaibosaijoho/ooame.html,
18209,福井県越前市,2018/7/5 4:55,,http://www.city.echizen.lg.jp/office/echizen/h300705.html,
20201,長野県長野市,2018/7/518:10,2018/7/710:45,https://www.pref.nagano.lg.jp/bosai/kurashi/shobo/saigai/documents/180708__1700.pdf,
20384,長野県飯島町,2018/7/61:00,2018/7/67:00,https://www.pref.nagano.lg.jp/bosai/kurashi/shobo/saigai/documents/180708__1700.pdf,
20388,長野県宮田村,2018/7/62:00,2018/7/617:00,https://www.pref.nagano.lg.jp/bosai/kurashi/shobo/saigai/documents/180708__1700.pdf,
20402,長野県松川町,2018/7/514:45,2018/7/717:00,https://www.pref.nagano.lg.jp/bosai/kurashi/shobo/saigai/documents/180708__1700.pdf,
20403,長野県高森町,2018/7/61:00,2018/7/79:50,https://www.pref.nagano.lg.jp/bosai/kurashi/shobo/saigai/documents/180708__1700.pdf,
